tconst,title,year,runtime,genre,director,rating,num_votes,img_url
tt0022698,Blonde Venus,1932,93,Drama,NA,7.1,3901,NA
tt0022700,Blondie of the Follies,1932,91,"Comedy,Musical",NA,6.5,1055,NA
tt0022718,Boudu Saved from Drowning,1932,85,Comedy,NA,7.4,4777,NA
tt0022735,The Cabin in the Cotton,1932,78,Drama,NA,6.8,1316,NA
tt0022787,Wooden Crosses,1932,115,"Drama,War",NA,7.7,1099,NA
tt0022827,Doctor X,1932,76,"Comedy,Crime,Horror",NA,6.4,2517,NA
tt0022834,Downstairs,1932,77,"Drama,Romance",NA,6.7,1553,NA
tt0022835,Dr. Jekyll and Mr. Hyde,1931,98,"Horror,Sci-Fi",NA,7.6,11545,NA
tt0022867,Ecstasy,1933,82,"Drama,Romance",NA,6.7,1919,NA
tt0022877,Fanny,1932,140,"Comedy,Drama",NA,7.7,1394,NA
tt0022879,A Farewell to Arms,1932,80,"Drama,Romance,War",NA,6.5,4496,NA
tt0022905,Forbidden,1932,85,"Drama,Romance",NA,6.9,1154,NA
tt0022913,Freaks,1932,64,"Drama,Horror",NA,7.9,38803,NA
tt0022958,Grand Hotel,1932,112,"Drama,Romance",NA,7.4,15898,NA
tt0023027,Horse Feathers,1932,68,"Comedy,Musical,Romance",NA,7.6,10968,NA
tt0023042,I Am a Fugitive from a Chain Gang,1932,92,"Crime,Drama,Film-Noir",NA,8.2,10655,NA
tt0023049,If I Had a Million,1932,88,"Comedy,Drama",NA,7.0,1468,NA
tt0023074,Jewel Robbery,1932,68,"Comedy,Crime,Romance",NA,7.3,1590,NA
tt0023158,Love Me Tonight,1932,104,"Comedy,Musical,Romance",NA,7.6,3326,NA
tt0023194,The Mask of Fu Manchu,1932,68,"Adventure,Horror,Sci-Fi",NA,6.3,2808,NA
tt0023196,Mata Hari,1931,89,"Crime,Drama,Romance",NA,6.6,3053,NA
tt0023238,The Most Dangerous Game,1932,63,"Action,Adventure,Thriller",NA,7.2,9312,NA
tt0023241,Movie Crazy,1932,84,"Comedy,Family,Romance",NA,7.2,1259,NA
tt0023245,The Mummy,1932,73,"Fantasy,Horror",NA,7.1,21013,NA
tt0023249,Murders in the Rue Morgue,1932,61,"Crime,Horror,Mystery",NA,6.4,3297,NA
tt0023285,Number 17,1932,66,"Crime,Mystery,Thriller",NA,5.8,4159,NA
tt0023293,The Old Dark House,1932,72,"Comedy,Horror,Thriller",NA,7.2,7866,NA
tt0023303,One Hour with You,1932,78,"Comedy,Musical,Romance",NA,7.2,1857,NA
tt0023305,One Way Passage,1932,67,"Comedy,Drama,Romance",NA,7.5,3080,NA
tt0023312,Pack Up Your Troubles,1932,68,"Comedy,War",NA,7.3,1891,NA
tt0023349,Polly of the Circus,1932,69,"Comedy,Drama,Romance",NA,6.3,1011,NA
tt0023362,The Purchase Price,1932,68,"Comedy,Drama",NA,6.4,1246,NA
tt0023369,Rain,1932,94,Drama,NA,6.9,2184,NA
tt0023382,Red Dust,1932,83,"Drama,Romance",NA,7.3,3441,NA
tt0023385,Red-Headed Woman,1932,79,"Comedy,Romance",NA,7.0,2456,NA
tt0023395,East of Shanghai,1931,92,"Comedy,Romance,Thriller",NA,5.8,3720,NA
tt0023427,Scarface,1932,93,"Action,Crime,Drama",NA,7.8,23153,NA
tt0023458,Shanghai Express,1932,82,"Adventure,Drama,Romance",NA,7.3,6661,NA
tt0023470,The Sign of the Cross,1932,108,"Drama,History",NA,6.8,1820,NA
tt0023491,So Big!,1932,81,"Drama,Romance",NA,7.0,1225,NA
tt0023551,Tarzan the Ape Man,1932,100,"Action,Adventure,Romance",NA,7.0,6551,NA
tt0023556,Taxi,1932,69,"Crime,Drama,Romance",NA,6.7,1032,NA
tt0023563,The Testament of Dr. Mabuse,1933,122,Crime,NA,8.0,10414,NA
tt0023590,Three on a Match,1932,63,"Crime,Drama,Romance",NA,7.2,2910,NA
tt0023622,Trouble in Paradise,1932,83,"Comedy,Crime,Romance",NA,8.0,11845,NA
tt0023634,"I Was Born, But...",1932,100,"Comedy,Drama",NA,8.0,4362,NA
tt0023649,Vampyr,1932,75,"Fantasy,Horror",NA,7.6,14077,NA
tt0023686,What Price Hollywood?,1932,88,Drama,NA,7.1,1978,NA
tt0023694,White Zombie,1932,69,Horror,NA,6.4,8386,NA
tt0023731,"20,000 Years in Sing Sing",1932,78,"Crime,Drama,Film-Noir",NA,6.9,2170,NA
